"","transcriptid","loglikelihoodratio","lnlNull","muNull","p0Null","p1Null","lnlAlt","muAlt","omega0Alt","omega2Alt","p0Alt","p1Alt","p2Alt","pval","isfdrsignificant"
"knownGene.uc002isj.1.1.inc","knownGene.uc002isj.1.1.inc",0,-1153.702194,7.981389,1,2.11569e-11,-1153.702194,7.981389,0.003726529,1,0.9999979,2.115684e-11,-1,1,0
"knownGene.uc002isk.1.1.inc","knownGene.uc002isk.1.1.inc",1.21484,-3941.283729,8.516754,0.848849,0.151151,-3940.068889,8.433492,0.1084694,47.62718,0.8419043,0.145371,-1,0.0595286001204551,0
"knownGene.uc002isu.1.1","knownGene.uc002isu.1.1",0,-973.680197,9.278419,0.629439,0.370561,-973.680197,9.278419,0.1714599,1,0.6294383,0.37056,-1,1,0
"knownGene.uc002itg.1.1.inc","knownGene.uc002itg.1.1.inc",0,-599.511721,3.625267,0.928245,0.0717547,-599.511721,3.625267,1e-05,1,0.7138088,0.05517848,-1,1,0
"knownGene.uc002iub.1.1.inc","knownGene.uc002iub.1.1.inc",0,-1354.546895,9.748197,0.971084,0.0289162,-1354.546895,9.748197,0.1169778,1,0.9710757,0.02891594,-1,1,0
"knownGene.uc002iyy.1.1","knownGene.uc002iyy.1.1",0,-4386.917507,8.414312,0.985255,0.0147452,-4386.917507,8.414312,0.02256718,1,0.9852395,0.01474499,-1,1,0
"knownGene.uc002izp.1.1.inc","knownGene.uc002izp.1.1.inc",0,-1334.577819,4.543162,0.954342,0.045658,-1334.577819,4.543162,0.1053885,1,0.9543293,0.04565741,-1,1,0
"knownGene.uc002jae.1.1","knownGene.uc002jae.1.1",0.916124,-3945.210498,9.016311,0.962495,0.0375053,-3944.294374,8.968142,0.04401618,3.519553,0.9418688,0.03430558,-1,0.0879311267770232,0
"knownGene.uc002jal.1.1","knownGene.uc002jal.1.1",1.719909,-10753.616286,6.699663,0.98688,0.0131197,-10751.896378,6.685636,0.01649802,121.2659,0.9860375,0.01257516,-1,0.0318213515423409,0
"knownGene.uc002jee.1.1.inc","knownGene.uc002jee.1.1.inc",0.001731,-6571.40755,8.723885,0.899191,0.100809,-6571.405819,8.731787,0.05356693,1,0.9002951,0.09969673,-1,0.476540266865483,0
"knownGene.uc002jel.1.1","knownGene.uc002jel.1.1",0,-549.000153,4.03046,1,1e-11,-549.000153,4.030459,1e-05,1,0.999999,9.99999e-12,-1,1,0
"knownGene.uc002jeq.1.1","knownGene.uc002jeq.1.1",0,-3085.93898,8.057917,0.986295,0.0137045,-3085.93898,8.057916,0.003708128,1,0.971074,0.01349305,-1,1,0
"knownGene.uc002jhn.1.1","knownGene.uc002jhn.1.1",0.561117,-1819.201548,6.163803,0.87955,0.12045,-1818.640431,6.153959,0.1932626,12.11803,0.8848252,0.1056892,-1,0.144718962019592,0
"knownGene.uc002jht.1.1","knownGene.uc002jht.1.1",0.083332,-2514.199011,11.25673,0.647251,0.352749,-2514.115678,11.18332,0.1022365,1.332615,0.4567762,0.2456024,-1,0.341546897923097,0
"knownGene.uc002jjb.1.1","knownGene.uc002jjb.1.1",0,-2549.420985,7.881018,0.846727,0.153273,-2549.420985,7.881018,0.02352619,1,0.8467228,0.1532723,-1,1,0
"knownGene.uc002jjj.1.1","knownGene.uc002jjj.1.1",0,-1005.370017,6.529192,0.823448,0.176552,-1005.370017,6.529192,0.1117044,1,0.6789875,0.1455789,-1,1,0
"knownGene.uc002jlm.1.1","knownGene.uc002jlm.1.1",0,-585.742868,10.00101,0.928913,0.0710871,-585.742868,10.00101,0.03852418,1,0.8739734,0.06688275,-1,1,0
"knownGene.uc002jlr.1.1","knownGene.uc002jlr.1.1",0,-1635.888938,8.587797,0.828904,0.171096,-1635.888938,8.587797,0.05980811,1,0.8289017,0.171095,-1,1,0
"knownGene.uc002jlw.1.1","knownGene.uc002jlw.1.1",0,-1892.478493,7.44447,0.884476,0.115524,-1892.478493,7.44447,0.06648074,1,0.8844725,0.115524,-1,1,0
"knownGene.uc002jmf.1.1","knownGene.uc002jmf.1.1",0.812101,-1243.292592,8.24251,0.959304,0.0406963,-1242.480491,8.184605,0.05597018,8.641273,0.9521038,0.03795867,-1,0.101253436341286,0
"knownGene.uc002jmh.1.1.inc","knownGene.uc002jmh.1.1.inc",0.680367,-3849.622925,7.204079,0.821752,0.178248,-3848.942558,7.152304,0.04315751,60.62056,0.816984,0.1782765,-1,0.121705156749516,0
"knownGene.uc002jmi.1.1","knownGene.uc002jmi.1.1",0,-1397.376907,10.68013,0.952477,0.0475234,-1397.376907,10.68013,0.02364985,1,0.9196504,0.04588562,-1,1,0
"knownGene.uc002jms.1.1.inc","knownGene.uc002jms.1.1.inc",2.150233,-3266.022762,7.366847,0.706174,0.293826,-3263.872529,7.295473,0.09550851,1596.189,0.7061567,0.286891,-1,0.0190509657321423,0
"knownGene.uc002jmv.1.1.inc","knownGene.uc002jmv.1.1.inc",0,-441.46497,7.798853,0.999999,1.07946e-06,-441.46497,7.798853,0.01739983,1,0.9025697,9.742929e-07,-1,1,0
"knownGene.uc002jnh.1.1","knownGene.uc002jnh.1.1",0,-1912.376233,9.940647,0.967252,0.0327484,-1912.376233,9.940647,0.06193249,1,0.9630169,0.03260502,-1,1,0
"knownGene.uc002jnr.1.1","knownGene.uc002jnr.1.1",0.00168,-1403.199089,6.170977,0.987339,0.0126607,-1403.197409,6.167534,0.0451654,1,0.986672,0.01331929,-1,0.476888051873979,0
"knownGene.uc002jod.1.1.inc","knownGene.uc002jod.1.1.inc",7e-05,-1672.40263,7.127785,0.989086,0.0109136,-1672.40256,7.125496,0.003581379,1,0.9886635,0.01131526,-1,0.495279761419744,0
"knownGene.uc002jon.1.1.inc","knownGene.uc002jon.1.1.inc",0,-8337.246837,9.036209,0.830321,0.169679,-8337.246837,9.036209,0.09355006,1,0.7692143,0.1571916,-1,1,0
"knownGene.uc002jpv.1.1","knownGene.uc002jpv.1.1",0.000192,-3085.208525,12.02976,0.969338,0.0306621,-3085.208333,12.03132,0.04488154,1,0.9694651,0.030529,-1,0.492182860109708,0
"knownGene.uc002jql.1.1","knownGene.uc002jql.1.1",0,-3999.088895,9.158006,0.999816,0.000183927,-3999.088895,9.158006,0.03834989,1,0.9954072,0.0001831164,-1,1,0
"knownGene.uc002jqu.1.1.inc","knownGene.uc002jqu.1.1.inc",0,-1472.862091,9.55534,0.984784,0.015216,-1472.862091,9.555359,0.01302903,1,0.9513714,0.01469934,-1,1,0
"knownGene.uc002jtj.1.1.inc","knownGene.uc002jtj.1.1.inc",0,-1309.48051,12.70189,0.910489,0.0895112,-1309.48051,12.70189,0.04441544,1,0.9104852,0.08951083,-1,1,0
"knownGene.uc002jue.1.1.inc","knownGene.uc002jue.1.1.inc",0,-1995.776132,6.719293,0.903434,0.0965659,-1995.776132,6.719293,0.09201766,1,0.7581927,0.08104142,-1,1,0
"knownGene.uc002jzf.1.1.inc","knownGene.uc002jzf.1.1.inc",0,-2890.079306,10.57033,0.986963,0.0130371,-2890.079306,10.57033,0.01711656,1,0.9567394,0.0126379,-1,1,0
"knownGene.uc002kaa.1.1.inc","knownGene.uc002kaa.1.1.inc",0,-1447.755694,11.24413,0.586549,0.413451,-1447.755694,11.24413,0.1326902,1,0.5745131,0.4049665,-1,1,0
"knownGene.uc002kaf.1.1","knownGene.uc002kaf.1.1",0,-939.85814,17.68919,1,3.35883e-07,-939.85814,17.68919,0.01267099,1,0.9675029,3.249676e-07,-1,1,0
"knownGene.uc002kai.1.1","knownGene.uc002kai.1.1",0,-2038.283323,9.839485,1,1e-11,-2038.283323,9.839485,1e-05,1,0.999999,9.99999e-12,-1,1,0
"knownGene.uc002kbc.1.1.inc","knownGene.uc002kbc.1.1.inc",0.063107,-1902.590702,10.54825,0.835565,0.164435,-1902.527596,10.5033,0.08202726,2.118979,0.788034,0.1539576,-1,0.361195125655866,0
"knownGene.uc002kdh.1.1.inc","knownGene.uc002kdh.1.1.inc",0,-740.488262,10.46425,0.95527,0.04473,-740.488262,10.46425,0.08300874,1,0.9552664,0.04472979,-1,1,0
"knownGene.uc002ker.1.1.inc","knownGene.uc002ker.1.1.inc",1.294103,-2474.557369,11.48748,0.935952,0.0640477,-2473.263266,11.18261,0.04185044,2.756044,0.835697,0.05327087,-1,0.053831109102331,0
"knownGene.uc002kfl.1.1.inc","knownGene.uc002kfl.1.1.inc",2.856962,-1306.396549,15.85433,0.986823,0.0131767,-1303.539587,15.3833,0.06986796,16.52548,0.9547829,0.0193716,-1,0.00841543842371825,0
"knownGene.uc002kgb.1.1.inc","knownGene.uc002kgb.1.1.inc",0.001759,-2764.320014,13.36072,0.869343,0.130657,-2764.318255,13.37475,0.09863579,1,0.8708181,0.1291783,-1,0.476351510745149,0
"knownGene.uc002kgi.1.1.inc","knownGene.uc002kgi.1.1.inc",0,-1539.201123,10.20029,0.90465,0.0953504,-1539.201123,10.20029,0.08140783,1,0.8018341,0.08451356,-1,1,0
"knownGene.uc002kkl.1.1.inc","knownGene.uc002kkl.1.1.inc",0,-1735.457733,7.22635,1,2.79319e-07,-1735.457733,7.22635,0.0135657,1,0.9728269,2.717287e-07,-1,1,0
"knownGene.uc002klm.1.1.inc","knownGene.uc002klm.1.1.inc",0,-4986.946657,9.090844,0.889953,0.110047,-4986.946657,9.090844,0.08029008,1,0.8760931,0.1083327,-1,1,0
"knownGene.uc002kmu.1.1","knownGene.uc002kmu.1.1",0.468356,-6595.349743,10.07926,0.887664,0.112336,-6594.881386,10.06236,0.03149524,4.691134,0.8800729,0.1098513,-1,0.166562434041867,0
"knownGene.uc002knc.1.1.inc","knownGene.uc002knc.1.1.inc",0.089401,-4225.017308,11.66931,0.922604,0.0773959,-4224.927908,11.66192,0.07699776,2.226784,0.9071677,0.07546346,-1,0.336202405273371,0
"knownGene.uc002knl.1.1","knownGene.uc002knl.1.1",0.158074,-4927.811861,13.83403,0.884958,0.115042,-4927.653786,13.78522,0.1196324,1.531371,0.7728009,0.09982391,-1,0.286965902007646,0
"knownGene.uc002kqq.1.1.inc","knownGene.uc002kqq.1.1.inc",0,-993.697203,10.44727,0.995597,0.00440317,-993.697203,10.44727,0.03492116,1,0.9929214,0.004391338,-1,1,0
"knownGene.uc002krv.1.1.inc","knownGene.uc002krv.1.1.inc",1.406831,-6733.363824,12.20657,0.846979,0.153021,-6731.956993,12.16574,0.1441102,8.626142,0.8414336,0.1460144,-1,0.0467323998246898,0
"knownGene.uc002kso.1.1","knownGene.uc002kso.1.1",0.294372,-2765.995249,10.59167,0.926801,0.0731986,-2765.700877,10.52148,0.07702894,6.823945,0.9137042,0.06464824,-1,0.22145260875651,0
"knownGene.uc002ktf.1.1.inc","knownGene.uc002ktf.1.1.inc",0,-3800.192411,7.219886,0.925009,0.0749909,-3800.192411,7.219965,0.06643369,1,0.925003,0.07499038,-1,1,0
"knownGene.uc002ktk.1.1","knownGene.uc002ktk.1.1",1.2e-05,-1328.153738,12.50028,0.975997,0.0240027,-1328.153726,12.50075,0.03863027,1,0.9760276,0.02395555,-1,0.49804559777,0
"knownGene.uc002kuc.1.1","knownGene.uc002kuc.1.1",0,-2028.703653,8.624797,0.983144,0.0168563,-2028.703653,8.624794,0.03365867,1,0.9831412,0.01685627,-1,1,0
"knownGene.uc002kwc.1.1","knownGene.uc002kwc.1.1",0,-2881.163578,10.5715,0.830781,0.169219,-2881.163578,10.5715,0.09000164,1,0.8307761,0.1692175,-1,1,0
"knownGene.uc002kxj.1.1","knownGene.uc002kxj.1.1",0,-5392.400812,11.03132,0.746524,0.253476,-5392.400812,11.03132,0.05539449,1,0.7080966,0.2404285,-1,1,0
"knownGene.uc002kxq.1.1","knownGene.uc002kxq.1.1",0.025093,-14666.70933,10.7661,0.86931,0.13069,-14666.684237,10.82311,0.1225541,1,0.8773771,0.1226103,-1,0.411369967738248,0
"knownGene.uc002kyn.1.1.inc","knownGene.uc002kyn.1.1.inc",0,-1374.051601,7.425711,0.637156,0.362844,-1374.051601,7.425711,0.1977583,1,0.6371429,0.3628368,-1,1,0
"knownGene.uc002kza.1.1","knownGene.uc002kza.1.1",2.9e-05,-592.661829,4.678974,1,6.80044e-11,-592.6618,4.678956,0.05184393,1,0.999996,4.036503e-11,-1,0.496961775479659,0
"knownGene.uc002kzd.1.1.inc","knownGene.uc002kzd.1.1.inc",0.058805,-988.652163,8.313374,0.647491,0.352509,-988.593358,8.305368,0.2128295,6.057697,0.6526245,0.3332719,-1,0.365820616770458,0
"knownGene.uc002lab.1.1.inc","knownGene.uc002lab.1.1.inc",6e-06,-2035.13543,9.275359,0.67339,0.32661,-2035.135424,9.276866,0.1980336,1,0.6737137,0.3262774,-1,0.498618026166063,0
"knownGene.uc002lah.1.1","knownGene.uc002lah.1.1",0,-618.773074,3.450931,1,1e-11,-618.773074,3.450931,1e-05,1,0.999999,9.99999e-12,-1,1,0
"knownGene.uc002laq.1.1","knownGene.uc002laq.1.1",0.000569,-2381.135831,11.5371,1,9.26258e-11,-2381.135262,11.53713,0.002466311,1,0.9999972,2.845268e-11,-1,0.486544531250827,0
"knownGene.uc002lbb.1.1","knownGene.uc002lbb.1.1",0.001899,-3580.42057,8.191964,0.918041,0.0819591,-3580.41867,8.190285,0.09924861,1.200832,0.8661204,0.0770399,-1,0.475429572817239,0
"knownGene.uc002lby.1.1","knownGene.uc002lby.1.1",0,-1575.65437,4.682743,1,2.23095e-08,-1575.65437,4.682744,0.01845041,1,0.997774,2.226001e-08,-1,1,0
"knownGene.uc002lce.1.1","knownGene.uc002lce.1.1",0.020009,-6647.292887,8.713083,0.98601,0.0139895,-6647.272878,8.707907,0.01703374,1.219335,0.9410445,0.01333809,-1,0.42072269569805,0
"knownGene.uc002ldd.1.1","knownGene.uc002ldd.1.1",0,-4006.474238,6.712561,0.959289,0.0407114,-4006.474238,6.712561,0.04148745,1,0.959282,0.04071117,-1,1,0
"knownGene.uc002ldi.1.1","knownGene.uc002ldi.1.1",0.003863,-4721.801292,11.07686,0.974537,0.0254633,-4721.797429,11.08801,0.03877171,1,0.9757286,0.02426047,-1,0.464979005139267,0
"knownGene.uc002lec.1.1.inc","knownGene.uc002lec.1.1.inc",3.4e-05,-3643.474882,10.08034,0.985327,0.0146733,-3643.474847,10.08165,0.03503998,1,0.985385,0.01459948,-1,0.496710274962353,0
"knownGene.uc002ler.1.1","knownGene.uc002ler.1.1",0,-4087.499778,7.64121,0.986016,0.0139835,-4087.499778,7.64121,0.01263956,1,0.9859994,0.01398329,-1,1,0
"knownGene.uc002lfk.1.1","knownGene.uc002lfk.1.1",0,-5480.379771,11.69625,0.823469,0.176531,-5480.379771,11.69625,0.1048513,1,0.8234613,0.1765299,-1,1,0
"knownGene.uc002lfm.1.1.inc","knownGene.uc002lfm.1.1.inc",0,-1315.94163,7.381563,0.732318,0.267682,-1315.94163,7.381563,0.1657889,1,0.680384,0.2486985,-1,1,0
"knownGene.uc002lfo.1.1","knownGene.uc002lfo.1.1",0.000568,-4836.279501,10.7479,0.739216,0.260784,-4836.278933,10.73118,0.1806879,1,0.7368746,0.2631214,-1,0.486556355756094,0
"knownGene.uc002ljj.1.1.inc","knownGene.uc002ljj.1.1.inc",0,-1942.029357,9.220994,0.753696,0.246304,-1942.029357,9.220994,0.1252575,1,0.6810057,0.2225496,-1,1,0
"knownGene.uc002lkd.1.1.inc","knownGene.uc002lkd.1.1.inc",0,-2864.890949,9.525124,0.794797,0.205203,-2864.890949,9.525124,0.09104055,1,0.7947877,0.2052006,-1,1,0
"knownGene.uc002llu.1.1.inc","knownGene.uc002llu.1.1.inc",0.003701,-6269.79231,13.23165,0.660374,0.339626,-6269.788609,13.23149,0.1597629,3.101096,0.6596977,0.3381995,-1,0.465719346222663,0
"knownGene.uc002lpx.1.1.inc","knownGene.uc002lpx.1.1.inc",0.76561,-4349.268262,11.23673,0.961615,0.0383845,-4348.502653,11.20142,0.03530883,22.66905,0.9574888,0.03738805,-1,0.107964718405289,0
"knownGene.uc002lrd.1.1","knownGene.uc002lrd.1.1",0.369297,-2028.984177,14.22681,0.765124,0.234876,-2028.61488,13.96695,0.121332,53.21564,0.7648,0.2214145,-1,0.195055821300654,0
"knownGene.uc002lsl.1.1.inc","knownGene.uc002lsl.1.1.inc",0,-2034.138633,8.36808,0.993168,0.00683176,-2034.138633,8.36808,0.008564521,1,0.9931526,0.006831657,-1,1,0
"knownGene.uc002lsy.1.1.inc","knownGene.uc002lsy.1.1.inc",2.52806,-571.069929,10.20936,0.830432,0.169568,-568.541868,9.061926,0.07082756,1109.146,0.7518504,0.1473583,-1,0.0122695584959668,0
"knownGene.uc002ltn.1.1","knownGene.uc002ltn.1.1",0,-618.81431,6.016605,1,1e-11,-618.81431,6.016605,0.03089716,1,0.999999,9.99999e-12,-1,1,0
"knownGene.uc002lui.1.1.inc","knownGene.uc002lui.1.1.inc",0,-775.405186,11.41602,1,1e-11,-775.405186,11.41602,0.04480493,1,0.999999,9.99999e-12,-1,1,0
"knownGene.uc002luo.1.1","knownGene.uc002luo.1.1",0,-1239.651019,10.23134,1,3.78015e-11,-1239.651019,10.23134,0.002828199,1,0.9999962,3.78014e-11,-1,1,0
"knownGene.uc002lxa.1.1.inc","knownGene.uc002lxa.1.1.inc",1e-06,-694.885342,9.872306,1,3.05061e-11,-694.885341,9.872273,0.002772374,1,0.999997,3.034736e-11,-1,0.499435810604515,0
"knownGene.uc002lyi.1.1","knownGene.uc002lyi.1.1",0.000419,-1380.932774,23.67503,1,4.56382e-11,-1380.932355,23.67471,0.007653822,1,0.9999984,1.615425e-11,-1,0.488452940010841,0
"knownGene.uc002maq.1.1","knownGene.uc002maq.1.1",0.635668,-960.278647,11.87181,0.884099,0.115901,-959.642979,11.80617,0.08238653,9.29919,0.8708172,0.1065679,-1,0.129758098390037,0
"knownGene.uc002mbb.1.1.inc","knownGene.uc002mbb.1.1.inc",0.002169,-3066.087738,14.29906,0.945949,0.0540506,-3066.085569,14.30747,0.01923242,1,0.9465793,0.05341742,-1,0.473743252029323,0
"knownGene.uc002mfs.1.1.inc","knownGene.uc002mfs.1.1.inc",0,-3316.761592,10.87498,1,8.66761e-08,-3316.761592,10.87498,0.05932236,1,0.9914067,8.59319e-08,-1,1,0
"knownGene.uc002mio.1.1","knownGene.uc002mio.1.1",0,-753.927847,8.687564,1,1.79192e-07,-753.927847,8.687564,0.00294296,1,0.982396,1.760378e-07,-1,1,0
"knownGene.uc002mjl.1.1.inc","knownGene.uc002mjl.1.1.inc",0.379537,-2014.007967,11.45021,0.571823,0.428177,-2013.62843,11.34161,0.2227423,2.455593,0.4863308,0.3473531,-1,0.191809233701074,0
"knownGene.uc002mmm.1.1.inc","knownGene.uc002mmm.1.1.inc",4e-06,-701.579207,7.419948,1,1.01601e-10,-701.579204,7.419944,0.04087835,1,0.9999901,9.885717e-11,-1,0.498871622337408,0
"knownGene.uc002moo.1.1.inc","knownGene.uc002moo.1.1.inc",0,-1584.974642,8.894099,1,2.09808e-07,-1584.974642,8.894099,0.009386844,1,0.9794501,2.054967e-07,-1,1,0
"knownGene.uc002mos.1.1","knownGene.uc002mos.1.1",0,-1011.172563,9.977653,0.710923,0.289077,-1011.172563,9.977655,0.08511017,1,0.6995302,0.2844451,-1,1,0
"knownGene.uc002mpg.1.1","knownGene.uc002mpg.1.1",0,-2970.656242,7.796993,0.924241,0.0757587,-2970.656242,7.796993,0.02013954,1,0.913171,0.07485125,-1,1,0
"knownGene.uc002mqa.1.1.inc","knownGene.uc002mqa.1.1.inc",0,-1775.340415,6.281913,1,4.60182e-08,-1775.340415,6.281912,0.01088525,1,0.9954193,4.580659e-08,-1,1,0
"knownGene.uc002mqe.1.1.inc","knownGene.uc002mqe.1.1.inc",0,-2967.987401,8.132272,1,3.82471e-11,-2967.987401,8.132272,0.008424674,1,0.9999962,3.824697e-11,-1,1,0
"knownGene.uc002mrf.1.1","knownGene.uc002mrf.1.1",0.000432,-2765.795689,6.049045,0.984378,0.0156215,-2765.795257,6.049816,0.02546599,1,0.9846131,0.01537849,-1,0.48827522810579,0
"knownGene.uc002mrh.1.1.inc","knownGene.uc002mrh.1.1.inc",0,-1132.439204,8.43763,0.905402,0.094598,-1132.439204,8.437635,0.2096906,1,0.891148,0.09310931,-1,1,0
"knownGene.uc002mrv.1.1.inc","knownGene.uc002mrv.1.1.inc",0.24983,-2158.208423,12.78665,0.923631,0.0763694,-2157.958593,12.77682,0.04660401,3.319423,0.9182222,0.07484395,-1,0.239824776666418,0
"knownGene.uc002mun.1.1.inc","knownGene.uc002mun.1.1.inc",0.394235,-1909.768326,9.634533,0.964997,0.0350029,-1909.374091,9.539925,0.08955922,2.515825,0.8828217,0.03299205,-1,0.187281582591825,0
"knownGene.uc002mus.1.1.inc","knownGene.uc002mus.1.1.inc",0.006873,-3713.755917,8.757959,1,4.55631e-10,-3713.749044,8.757856,0.001179008,1,0.9999891,1.08695e-10,-1,0.453333612994138,0
"knownGene.uc002mwa.1.1.inc","knownGene.uc002mwa.1.1.inc",0.014232,-1652.130911,7.216972,0.962234,0.0377663,-1652.116679,7.245891,0.05796312,1,0.9676971,0.03228482,-1,0.433011285438931,0
"knownGene.uc002mxn.1.1.inc","knownGene.uc002mxn.1.1.inc",0.000103,-2515.415181,9.097503,0.856879,0.143121,-2515.415078,9.088454,0.126931,1,0.8551926,0.1448031,-1,0.494274297677541,0
"knownGene.uc002myr.1.1","knownGene.uc002myr.1.1",0,-1955.308379,10.84627,0.976175,0.0238248,-1955.308379,10.84627,0.008606041,1.000002,0.970935,0.02369688,-1,1,0
"knownGene.uc002nad.1.1.inc","knownGene.uc002nad.1.1.inc",0,-1057.637214,5.374667,0.971428,0.0285724,-1057.637214,5.374667,0.02960402,1,0.9470658,0.02785583,-1,1,0
"knownGene.uc002nat.1.1.inc","knownGene.uc002nat.1.1.inc",0.299549,-3966.211904,7.019365,0.982763,0.0172373,-3965.912355,7.006242,0.02362562,7.712211,0.9779648,0.01694513,-1,0.21946119351556,0
"knownGene.uc002ndk.1.1.inc","knownGene.uc002ndk.1.1.inc",0,-653.780307,6.27397,1,5.28145e-11,-653.780307,6.27397,0.03724164,1,0.9999947,5.281423e-11,-1,1,0
"knownGene.uc002nec.1.1.inc","knownGene.uc002nec.1.1.inc",0.570638,-3102.486807,9.809497,0.961793,0.0382066,-3101.916169,9.805018,0.01571702,11.96723,0.9629663,0.03467661,-1,0.142691431848066,0
"knownGene.uc002new.1.1","knownGene.uc002new.1.1",0,-2340.56637,10.37364,0.965587,0.0344128,-2340.56637,10.37364,0.01618114,1,0.9207123,0.03281349,-1,1,0
"knownGene.uc002nfl.1.1.inc","knownGene.uc002nfl.1.1.inc",0.002881,-1251.960697,10.87938,0.970235,0.0297649,-1251.957816,10.85695,0.04575093,1,0.9685673,0.03142555,-1,0.469746210174632,0
"knownGene.uc002ngv.1.1","knownGene.uc002ngv.1.1",0,-1761.310387,11.66276,0.98553,0.0144704,-1761.310387,11.66276,0.03200292,1,0.9855075,0.01447007,-1,1,0
"knownGene.uc002nhi.1.1.inc","knownGene.uc002nhi.1.1.inc",1e-06,-2145.63848,9.66189,0.945097,0.0549028,-2145.63848,9.661099,0.05317162,1,0.9450947,0.05490268,-1,0.499435810604515,0
"knownGene.uc002nih.1.1.inc","knownGene.uc002nih.1.1.inc",0.003324,-2967.691515,9.296429,0.910848,0.0891516,-2967.688191,9.304744,0.04511571,1,0.9117813,0.08820842,-1,0.467508139038293,0
"knownGene.uc002nkc.1.1","knownGene.uc002nkc.1.1",0.01408,-2300.328477,6.335084,0.937698,0.0623017,-2300.314397,6.366231,0.05613014,1,0.9440872,0.05590227,-1,0.433366607441395,0
"knownGene.uc002nkh.1.1","knownGene.uc002nkh.1.1",0,-2454.834296,11.61379,0.997134,0.00286591,-2454.834296,11.61379,0.006190227,1,0.9971014,0.002865813,-1,1,0
"knownGene.uc002nlr.1.1","knownGene.uc002nlr.1.1",0,-727.675865,14.7973,0.990663,0.00933673,-727.675865,14.7973,0.007526327,1,0.990653,0.009336634,-1,1,0
"knownGene.uc002nlw.1.1","knownGene.uc002nlw.1.1",0.518905,-1887.41914,11.06577,0.9747,0.0253004,-1886.900235,11.00497,0.06985409,4.397647,0.9609581,0.024314,-1,0.154165677747614,0
"knownGene.uc002nmi.1.1","knownGene.uc002nmi.1.1",0.115308,-3062.685628,8.986771,0.940432,0.0595684,-3062.57032,8.976544,0.02605,2.01721,0.9242867,0.0578899,-1,0.315533724755527,0
"knownGene.uc002nst.1.1","knownGene.uc002nst.1.1",0.190368,-3653.274004,8.491856,0.755127,0.244873,-3653.083636,8.474961,0.08155712,5.561306,0.74848,0.2339353,-1,0.268604802309839,0
"knownGene.uc002nsy.1.1","knownGene.uc002nsy.1.1",1.25668,-5924.782259,9.273175,0.975233,0.0247669,-5923.52558,9.241766,0.01696874,11.91681,0.9708922,0.02385134,-1,0.0564425086042086,0
"knownGene.uc002ntj.1.1","knownGene.uc002ntj.1.1",0,-989.94253,10.9614,0.931176,0.0688244,-989.94253,10.9614,0.01700347,1,0.9163026,0.06772508,-1,1,0
"knownGene.uc002nur.1.1","knownGene.uc002nur.1.1",0.001313,-3482.964139,9.710285,0.956873,0.0431267,-3482.962826,9.717189,0.05148982,1,0.9575849,0.04240213,-1,0.479565341524067,0
"knownGene.uc002nuw.1.1","knownGene.uc002nuw.1.1",0.000276,-1728.782423,8.551426,0.99553,0.00447032,-1728.782147,8.55044,0.01045222,1,0.9954648,0.004528753,-1,0.490627840930751,0
"knownGene.uc002nvl.1.1","knownGene.uc002nvl.1.1",0.000913,-3352.194338,9.87027,0.953825,0.0461755,-3352.193425,9.862682,0.02090311,1,0.9530394,0.04694714,-1,0.482957696382493,0
"knownGene.uc002nxn.1.1.inc","knownGene.uc002nxn.1.1.inc",0,-1733.280957,9.580324,1,1.72185e-11,-1733.280957,9.580324,0.02412488,1,0.9999983,1.721849e-11,-1,1,0
"knownGene.uc002nyu.1.1","knownGene.uc002nyu.1.1",7.8e-05,-881.447643,6.992793,1,8.1954e-11,-881.447565,6.992804,0.01363107,1,0.999994,5.964416e-11,-1,0.495017342064276,0
"knownGene.uc002nzc.1.1","knownGene.uc002nzc.1.1",0,-2485.511643,10.11424,0.919475,0.0805253,-2485.511643,10.11424,0.06152307,1,0.8624887,0.07553465,-1,1,0
"knownGene.uc002nzl.1.1.inc","knownGene.uc002nzl.1.1.inc",1.566558,-1474.852969,11.04507,0.708438,0.291562,-1473.286411,10.6688,0.142404,6.640288,0.6625084,0.2455312,-1,0.0383584884287984,0
"knownGene.uc002oau.1.1.inc","knownGene.uc002oau.1.1.inc",0.003352,-985.415136,6.411858,0.761828,0.238172,-985.411784,6.373246,0.01560794,1,0.7539549,0.246042,-1,0.467371881286988,0
"knownGene.uc002obb.1.1.inc","knownGene.uc002obb.1.1.inc",0,-1163.074228,11.32045,0.913672,0.0863282,-1163.074228,11.32045,0.08311128,1,0.9136611,0.08632719,-1,1,0
"knownGene.uc002ocd.1.1","knownGene.uc002ocd.1.1",0,-1279.823236,9.134034,0.939778,0.0602216,-1279.823236,9.134034,0.1166327,1,0.93977,0.06022104,-1,1,0
"knownGene.uc002ocj.1.1","knownGene.uc002ocj.1.1",0,-2544.740511,7.955629,0.877623,0.122377,-2544.740511,7.955631,0.03775671,1,0.8302192,0.1157668,-1,1,0
"knownGene.uc002oct.1.1.inc","knownGene.uc002oct.1.1.inc",0.00074,-1399.724935,6.914708,0.91037,0.0896299,-1399.724195,6.922095,0.04224653,1,0.9116223,0.0883666,-1,0.484656168941063,0
"knownGene.uc002ofs.1.1","knownGene.uc002ofs.1.1",0.00175,-2998.862111,12.25711,0.915555,0.0844448,-2998.860361,12.24481,0.04947894,1,0.914295,0.08569259,-1,0.476412016861676,0
